n_components,method,rmse,rmse
,,mean,std
2,project,2.174356846206541,0.16343917154722562
2,sklearn,2.0804584372669392,0.05321494446756934
4,project,1.8779965861442722,0.2970505541074321
4,sklearn,1.6497488534214475,0.05191694508073148
6,project,1.6460214059788465,0.4124236406804684
6,sklearn,1.2185495265835484,0.04873348201092687
8,project,1.5177556760280007,0.5145339379869833
8,sklearn,0.7655220371570159,0.04160366593548022
